"CMS Certification Number (CCN)","Measure Code","Measure Name","Score","Footnote","Start Date","End Date"
"Nation","H_001_01_OBSERVED","Hospice and Palliative Care – Treatment Preferences","98.8","","01/01/2017","12/31/2017"
"Nation","H_002_01_OBSERVED","Beliefs & Values Addressed (if desired by the patient)","95.3","","01/01/2017","12/31/2017"
"Nation","H_003_01_OBSERVED","Hospice and Palliative Care – Pain Screening","95.9","","01/01/2017","12/31/2017"
"Nation","H_004_01_OBSERVED","Hospice and Palliative Care – Pain Assessment","85.5","","01/01/2017","12/31/2017"
"Nation","H_005_01_OBSERVED","Hospice and Palliative Care – Dyspnea Screening","97.9","","01/01/2017","12/31/2017"
"Nation","H_006_01_OBSERVED","Hospice and Palliative Care – Dyspnea Treatment","95.6","","01/01/2017","12/31/2017"
"Nation","H_007_01_OBSERVED","Patient Treated with an Opioid Who Are Given a Bowel Regimen","93.8","","01/01/2017","12/31/2017"
"Nation","H_008_01_OBSERVED","Hospice and Palliative Care Composite Process Measure","83.6","","01/01/2017","12/31/2017"
