GEO_ID,NAME,P9_001N,P9_002N,P9_003N,P9_004N,P9_005N,P9_006N,P9_007N,P9_008N,P9_009N,P9_010N,P9_011N
860Z200US00791,00791,47260,46319,941,895,718,71,0,74,0,32,46
860Z200US00794,00794,28791,28716,75,72,47,6,1,5,2,11,3
860Z200US00795,00795,43745,43504,241,226,148,39,1,10,0,28,15
860Z200US00901,00901,6218,5637,581,561,450,39,0,48,4,20,20
860Z200US00906,00906,165,116,49,43,26,4,0,13,0,0,6
860Z200US00907,00907,16864,15382,1482,1420,1049,115,2,218,1,35,62
860Z200US00909,00909,6987,6647,340,328,230,55,2,21,0,20,12
860Z200US00911,00911,7496,6673,823,779,653,43,4,62,0,17,44
860Z200US00912,00912,5786,5630,156,142,80,43,2,10,0,7,14
860Z200US00913,00913,7261,6999,262,252,210,24,1,7,0,10,10
860Z200US00915,00915,25075,24744,331,296,123,141,4,8,0,20,35
860Z200US00917,00917,17319,17064,255,223,122,55,7,29,1,9,32
860Z200US00918,00918,17439,17060,379,353,216,38,2,78,0,19,26
860Z200US00920,00920,14798,14576,222,201,96,66,4,26,0,9,21
860Z200US00921,00921,32062,31680,382,353,206,73,1,41,1,31,29
860Z200US00923,00923,23607,23310,297,263,139,90,7,14,0,13,34
860Z200US00924,00924,49654,49109,545,493,298,107,2,49,0,37,52
860Z200US00925,00925,5501,5365,136,123,50,36,2,22,0,13,13
860Z200US00926,00926,96732,95566,1166,1090,741,125,12,133,0,79,76
860Z200US00927,00927,14297,14017,280,261,195,17,4,37,0,8,19
860Z200US00934,00934,218,158,60,57,38,13,0,4,0,2,3
860Z200US00949,00949,67453,66680,773,734,485,131,1,72,5,40,39
860Z200US00950,00950,6,6,0,0,0,0,0,0,0,0,0
860Z200US00951,00951,430,427,3,3,0,3,0,0,0,0,0
860Z200US00952,00952,8671,8615,56,53,15,22,1,0,0,15,3
860Z200US00953,00953,66369,65980,389,351,230,38,4,38,3,38,38
860Z200US00956,00956,72353,71796,557,515,352,75,5,27,1,55,42
860Z200US00957,00957,40540,40217,323,309,186,36,8,43,0,36,14
860Z200US00959,00959,43625,42894,731,688,505,75,4,63,2,39,43
860Z200US00960,00960,2891,2840,51,51,40,8,0,1,0,2,0
860Z200US00961,00961,28062,27725,337,312,216,29,5,48,1,13,25
860Z200US00962,00962,19741,19579,162,158,93,36,0,13,2,14,4
860Z200US00965,00965,6168,5764,404,399,207,162,3,9,0,18,5
860Z200US00966,00966,16977,16649,328,304,238,25,3,17,1,20,24
860Z200US00968,00968,3722,3618,104,99,65,7,1,23,0,3,5
860Z200US00969,00969,38838,38097,741,691,506,62,4,82,3,34,50
860Z200US00971,00971,28517,28246,271,248,177,22,0,32,1,16,23
860Z200US00976,00976,59879,59331,548,495,352,68,0,34,3,38,53
860Z200US00979,00979,14929,14115,814,767,614,70,1,69,0,13,47
860Z200US00982,00982,14182,14025,157,145,85,26,0,21,0,13,12
860Z200US00983,00983,31889,31454,435,420,284,71,2,31,0,32,15
860Z200US00985,00985,31250,30906,344,326,185,73,3,29,4,32,18
860Z200US00987,00987,58427,57840,587,562,342,69,4,100,4,43,25
860Z200US01001,01001,16984,1150,15834,15290,14370,353,23,491,2,51,544
860Z200US01002,01002,27558,2729,24829,23406,17439,1389,46,4330,5,197,1423
860Z200US01003,01003,13253,1158,12095,11593,8009,878,14,2674,10,8,502
860Z200US01005,01005,4900,153,4747,4565,4455,46,7,30,3,24,182
860Z200US01007,01007,15423,660,14763,14079,13370,269,6,367,4,63,684
860Z200US01008,01008,1317,31,1286,1246,1236,0,2,4,0,4,40
860Z200US01009,01009,980,46,934,885,859,7,0,14,0,5,49
860Z200US01010,01010,3711,119,3592,3397,3325,27,9,31,0,5,195
860Z200US01011,01011,1201,42,1159,1114,1101,0,9,2,0,2,45
860Z200US01012,01012,519,13,506,489,483,0,0,1,0,5,17
860Z200US01013,01013,23656,7534,16122,15271,13728,1059,32,330,9,113,851
860Z200US01020,01020,29781,5195,24586,23476,21791,967,48,547,21,102,1110
860Z200US01022,01022,2158,313,1845,1795,1570,181,11,32,0,1,50
860Z200US01026,01026,1011,24,987,936,920,4,1,3,0,8,51
860Z200US01027,01027,17896,1158,16738,16057,15339,184,30,424,9,71,681
860Z200US01028,01028,16417,893,15524,15023,13989,387,2,607,1,37,501
860Z200US01029,01029,714,5,709,688,682,0,0,6,0,0,21
860Z200US01030,01030,11708,677,11031,10651,10197,176,5,236,1,36,380
860Z200US01031,01031,1406,33,1373,1310,1278,10,8,6,1,7,63
860Z200US01032,01032,483,18,465,454,453,0,0,0,0,1,11
860Z200US01033,01033,6092,283,5809,5624,5347,80,6,185,0,6,185
860Z200US01034,01034,1977,49,1928,1853,1821,10,6,16,0,0,75
860Z200US01035,01035,5325,320,5005,4788,4346,71,5,351,1,14,217
860Z200US01036,01036,4966,181,4785,4633,4552,36,7,34,0,4,152
860Z200US01037,01037,706,21,685,654,645,3,1,0,0,5,31
860Z200US01038,01038,2522,49,2473,2407,2365,16,6,12,1,7,66
860Z200US01039,01039,1511,45,1466,1412,1376,19,5,7,1,4,54
